2
80 60
-1.33333 -1 0.0508863 0.719766 1
-1.29958 -1 0.0396357 0.695102 1
-1.26582 -1 0.0297544 0.669909 1
-1.23207 -1 0.021269 0.64428 1
-1.19831 -1 0.0141976 0.618305 1
-1.16456 -1 0.00855025 0.592071 1
-1.1308 -1 0.00433063 0.565665 1
-1.09705 -1 0.00153644 0.539167 1
-1.06329 -1 0.000160258 0.512658 1
-1.02954 -1 0.00019008 0.486214 1
-0.995781 -1 0.00160983 0.45991 1
-0.962025 -1 0.00439975 0.433815 1
-0.92827 -1 0.00853677 0.408001 1
-0.894515 -1 0.0139948 0.382531 1
-0.860759 -1 0.020745 0.357471 1
-0.827004 -1 0.028756 0.33288 1
-0.793249 -1 0.0379941 0.308818 1
-0.759494 -1 0.0484235 0.285341 1
-0.725738 -1 0.0600063 0.262501 1
-0.691983 -1 0.0727029 0.240352 1
-0.658228 -1 0.0864718 0.218941 1
-0.624473 -1 0.10127 0.198314 1
-0.590717 -1 0.117053 0.178516 1
-0.556962 -1 0.133776 0.159589 1
-0.523207 -1 0.15139 0.141571 1
-0.489451 -1 0.169848 0.124501 1
-0.455696 -1 0.1891 0.108412 1
-0.421941 -1 0.209096 0.093337 1
-0.388186 -1 0.229784 0.0793061 1
-0.35443 -1 0.251112 0.066347 1
-0.320675 -1 0.273028 0.0544851 1
-0.28692 -1 0.295476 0.0437435 1
-0.253165 -1 0.318403 0.0341431 1
-0.219409 -1 0.341755 0.0257022 1
-0.185654 -1 0.365474 0.0184371 1
-0.151899 -1 0.389506 0.0123617 1
-0.118143 -1 0.413794 0.00748752 1
-0.0843882 -1 0.438282 0.00382377 1
-0.0506329 -1 0.462912 0.00137743 1
-0.0168776 -1 0.487628 0.000153095 1
0.0168776 -1 0.512372 0.000153095 1
0.0506329 -1 0.537088 0.00137743 1
0.0843882 -1 0.561718 0.00382377 1
0.118143 -1 0.586206 0.00748752 1
0.151899 -1 0.610494 0.0123617 1
0.185654 -1 0.634526 0.0184371 1
0.219409 -1 0.658245 0.0257022 1
0.253165 -1 0.681597 0.0341431 1
0.28692 -1 0.704524 0.0437435 1
0.320675 -1 0.726972 0.0544851 1
0.35443 -1 0.748888 0.066347 1
0.388186 -1 0.770216 0.0793061 1
0.421941 -1 0.790904 0.093337 1
0.455696 -1 0.8109 0.108412 1
0.489451 -1 0.830152 0.124501 1
0.523207 -1 0.84861 0.141571 1
0.556962 -1 0.866224 0.159589 1
0.590717 -1 0.882947 0.178516 1
0.624473 -1 0.89873 0.198314 1
0.658228 -1 0.913528 0.218941 1
0.691983 -1 0.927297 0.240352 1
0.725738 -1 0.939994 0.262501 1
0.759494 -1 0.951577 0.285341 1
0.793249 -1 0.962006 0.308818 1
0.827004 -1 0.971244 0.33288 1
0.860759 -1 0.979255 0.357471 1
0.894515 -1 0.986005 0.382531 1
0.92827 -1 0.991463 0.408001 1
0.962025 -1 0.9956 0.433815 1
0.995781 -1 0.99839 0.45991 1
1.02954 -1 0.99981 0.486214 1
1.06329 -1 0.99984 0.512658 1
1.09705 -1 0.998464 0.539167 1
1.1308 -1 0.995669 0.565665 1
1.16456 -1 0.99145 0.592071 1
1.19831 -1 0.985802 0.618305 1
1.23207 -1 0.978731 0.64428 1
1.26582 -1 0.970246 0.669909 1
1.29958 -1 0.960364 0.695102 1
1.33333 -1 0.949114 0.719766 1
-1.33333 -0.966102 0.0575896 0.716935 1
-1.29958 -0.966102 0.0468305 0.692498 1
-1.26582 -0.966102 0.0374313 0.667575 1
-1.23207 -0.966102 0.0294144 0.642261 1
-1.19831 -0.966102 0.0227937 0.616644 1
-1.16456 -0.966102 0.0175756 0.59081 1
-1.1308 -0.966102 0.01376 0.564842 1
-1.09705 -0.966102 0.0113413 0.538821 1
-1.06329 -0.966102 0.0103089 0.512823 1
-1.02954 -0.966102 0.0106478 0.486923 1
-0.995781 -0.966102 0.0123394 0.461191 1
-0.962025 -0.966102 0.0153615 0.435697 1
-0.92827 -0.966102 0.0196891 0.410504 1
-0.894515 -0.966102 0.0252941 0.385677 1
-0.860759 -0.966102 0.0321464 0.361275 1
-0.827004 -0.966102 0.0402132 0.337356 1
-0.793249 -0.966102 0.04946 0.313975 1
-0.759494 -0.966102 0.0598502 0.291184 1
-0.725738 -0.966102 0.0713458 0.269034 1
-0.691983 -0.966102 0.0839069 0.247571 1
-0.658228 -0.966102 0.0974924 0.226842 1
-0.624473 -0.966102 0.11206 0.206888 1
-0.590717 -0.966102 0.127565 0.187751 1
-0.556962 -0.966102 0.143964 0.169469 1
-0.523207 -0.966102 0.161209 0.152078 1
-0.489451 -0.966102 0.179256 0.135611 1
-0.455696 -0.966102 0.198055 0.120101 1
-0.421941 -0.966102 0.217558 0.105576 1
-0.388186 -0.966102 0.237716 0.092065 1
-0.35443 -0.966102 0.258478 0.0795917 1
-0.320675 -0.966102 0.279795 0.0681795 1
-0.28692 -0.966102 0.301615 0.0578493 1
-0.253165 -0.966102 0.323887 0.0486199 1
-0.219409 -0.966102 0.346557 0.0405078 1
-0.185654 -0.966102 0.369575 0.0335276 1
-0.151899 -0.966102 0.392887 0.0276918 1
-0.118143 -0.966102 0.416439 0.0230108 1
-0.0843882 -0.966102 0.44018 0.0194927 1
-0.0506329 -0.966102 0.464054 0.0171439 1
-0.0168776 -0.966102 0.488009 0.0159684 1
0.0168776 -0.966102 0.511991 0.0159684 1
0.0506329 -0.966102 0.535946 0.0171439 1
0.0843882 -0.966102 0.55982 0.0194927 1
0.118143 -0.966102 0.583561 0.0230108 1
